franchise_id,franchise_name,vendor_code,store_name,city_name,vertical_type,has_history,orders_7d,ept_old,ept_new,reduction_min,reduction_pct,ept_new_tes,reduction_tes_min,estimated_minutes_reduced_7d,awt_old,slow_share,non_seamless_share,imputed_blocks,capped_blocks,ept_target_requested,adjustment_origin,adjustment_scope,source_franchise_id,wave,flag,input_row_number,apply_change,change_type,franchise_group_id,franchise_group_name
0011r00002VoHmEAAV,Doña Carne,149453,Doña Carne - Arlegui 2,Vina del mar,butchery,True,54.0,10.3156,11.6329,-1.3174,-0.1277,11.0,-0.6844,-36.96,2.8696,0.1296,0.2407,9,21,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,148636,Doña Carne - Camilo Henriquez,Santiago,butchery,True,89.0,9.9101,12.354,-2.4439,-0.2466,11.7865,-1.8764,-167.0,1.822,0.1573,0.2584,7,15,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,227275,Doña Carne - Grecia,Santiago,butchery,True,74.0,10.8785,11.6749,-0.7964,-0.0732,11.0,-0.1215,-8.99,3.2097,0.1486,0.3108,7,20,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,134442,Doña Carne - La Florida,Santiago,butchery,True,63.0,3.9683,12.072,-8.1037,-2.0421,11.9683,-8.0,-504.0,6.3233,0.1905,0.381,7,20,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,134472,Doña Carne - Macul,Santiago,butchery,True,70.0,6.0,12.0,-6.0,-1.0,12.0,-6.0,-420.0,2.7334,0.1,0.3,8,21,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,134475,Doña Carne - Plaza Egaña,Santiago,butchery,True,122.0,11.6652,11.6243,0.041,0.0035,11.0,0.6652,81.16,1.8084,0.2869,0.3525,7,21,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,reduction,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,184275,Doña Carne - Talca,Talca,butchery,True,91.0,6.2422,12.015,-5.7728,-0.9248,12.0,-5.7578,-523.96,1.1362,0.033,0.1868,10,21,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,227278,Doña Carne - Vicente Valdés,Santiago,butchery,True,83.0,8.5305,12.1963,-3.6658,-0.4297,12.0,-3.4695,-287.97,1.6787,0.1928,0.3133,8,21,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,491121,Doña Carne - Villa Alemana,Vina del mar,butchery,True,50.0,9.4606,12.2506,-2.79,-0.2949,11.96,-2.4994,-124.97,4.5944,0.08,0.2,7,19,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,173644,Doña Carne Gran Avenida,Santiago,butchery,True,97.0,8.1026,12.2183,-4.1158,-0.508,12.0,-3.8974,-378.05,0.9384,0.1237,0.2371,7,21,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,491445,Doña Carne- Melipilla,Melipilla,butchery,True,32.0,6.0,12.0,-6.0,-1.0,12.0,-6.0,-192.0,0.3462,0.0,0.1562,10,21,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
0011r00002VoHmEAAV,Doña Carne,491444,Doña Carne- San Bernardo,Santiago,butchery,True,47.0,10.2345,12.3113,-2.0769,-0.2029,11.5532,-1.3187,-61.98,2.7443,0.2128,0.2553,10,14,15.0,manual,franchise,0011r00002VoHmEAAV,,manual_adjustment,3.0,True,increase,0011r00002VoHmEAAV,Doña Carne
