franchise_id,franchise_name,vendor_code,store_name,city_name,vertical_type,has_history,orders_7d,ept_old,ept_new,reduction_min,reduction_pct,ept_new_tes,reduction_tes_min,estimated_minutes_reduced_7d,awt_old,slow_share,non_seamless_share,imputed_blocks,capped_blocks,ept_target_requested,adjustment_origin,adjustment_scope,source_franchise_id,wave,flag,input_row_number,apply_change,change_type,franchise_group_id,franchise_group_name
0016900002xQv80AAC,Club Del Poke - LATAM,519467,Club Del Poke - Copiapó.,Copiapo,restaurants,True,93.0,13.3553,16.7379,-3.3826,-0.2533,15.957,-2.6017,-241.96,11.6838,0.1183,0.3226,1,20,18.0,manual,vendor,,,reajuste regional,12,True,increase,0016900002xQv80AAC,Club Del Poke - LATAM
,,286542,Mi Delizie Sur Sushi,Antofagasta,restaurants,True,701.0,31.9497,20.7754,11.1743,0.3497,20.0,11.9497,8376.77,1.7734,0.3937,0.4151,1,21,26.0,manual,vendor,,,reajuste regional,7,True,reduction,VENDOR_286542,Independent / Mi Delizie Sur Sushi
,,418988,Nori & Nigiri,Concepcion,restaurants,True,85.0,36.7054,22.3254,14.38,0.3918,21.9529,14.7525,1253.96,4.6588,0.2824,0.3765,4,19,27.0,manual,vendor,,,reajuste regional,8,True,reduction,VENDOR_418988,Independent / Nori & Nigiri
,,229581,Sushi Camba Antofagasta Norte,Antofagasta,restaurants,True,59.0,38.2888,26.5773,11.7115,0.3059,26.0,12.2888,725.04,5.0637,0.339,0.4237,4,21,33.0,manual,vendor,,,reajuste regional,9,True,reduction,VENDOR_229581,Independent / Sushi Camba Antofagasta Norte
0011r00002VoHw6AAF,Papa John's,341835,Papa Johns Pizza - Copiapo,Copiapo,restaurants,True,550.0,28.5188,19.0644,9.4544,0.3315,18.9709,9.5479,5251.36,2.9497,0.14,0.1909,0,20,25.0,manual,vendor,,,reajuste regional,4,True,reduction,0011r00002VoHw6AAF,Papa John's
0011r00002VoHw6AAF,Papa John's,133509,Papa Johns Pizza - Punta Arenas,Punta arenas,restaurants,True,643.0,35.324,20.7073,14.6167,0.4138,19.8725,15.4515,9935.33,3.6028,0.3188,0.3515,1,16,25.0,manual,vendor,,,reajuste regional,3,True,reduction,0011r00002VoHw6AAF,Papa John's
0011r00002VoHw6AAF,Papa John's,291016,Papa John´s - Coronel,Concepcion,restaurants,True,605.0,34.2757,21.1691,13.1065,0.3824,20.9372,13.3385,8069.77,2.9829,0.2066,0.2628,0,18,25.0,manual,vendor,,,reajuste regional,2,True,reduction,0011r00002VoHw6AAF,Papa John's
