CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
491121,FRIDAY-FRIDAY,0-11,2,12,OPS_TEMPORARY
491121,FRIDAY-FRIDAY,12-14,2,12,OPS_TEMPORARY
491121,FRIDAY-FRIDAY,15-18,2,12,OPS_TEMPORARY
491121,FRIDAY-FRIDAY,19-21,2,12,OPS_TEMPORARY
491121,FRIDAY-FRIDAY,22-23,2,12,OPS_TEMPORARY
491121,MONDAY-MONDAY,0-11,2,12,OPS_TEMPORARY
491121,MONDAY-MONDAY,12-14,2,12,OPS_TEMPORARY
491121,MONDAY-MONDAY,15-18,2,12,OPS_TEMPORARY
491121,MONDAY-MONDAY,19-21,2,12,OPS_TEMPORARY
491121,MONDAY-MONDAY,22-23,2,12,OPS_TEMPORARY
491121,SATURDAY-SATURDAY,0-11,2,12,OPS_TEMPORARY
491121,SATURDAY-SATURDAY,12-14,2,12,OPS_TEMPORARY
491121,SATURDAY-SATURDAY,15-18,2,12,OPS_TEMPORARY
491121,SATURDAY-SATURDAY,19-21,2,12,OPS_TEMPORARY
491121,SATURDAY-SATURDAY,22-23,2,12,OPS_TEMPORARY
491121,SUNDAY-SUNDAY,0-11,2,12,OPS_TEMPORARY
491121,SUNDAY-SUNDAY,12-14,2,12,OPS_TEMPORARY
491121,SUNDAY-SUNDAY,15-18,2,12,OPS_TEMPORARY
491121,SUNDAY-SUNDAY,19-21,2,12,OPS_TEMPORARY
491121,SUNDAY-SUNDAY,22-23,2,12,OPS_TEMPORARY
491121,THURSDAY-THURSDAY,0-11,2,12,OPS_TEMPORARY
491121,THURSDAY-THURSDAY,12-14,2,12,OPS_TEMPORARY
491121,THURSDAY-THURSDAY,15-18,2,12,OPS_TEMPORARY
491121,THURSDAY-THURSDAY,19-21,2,12,OPS_TEMPORARY
491121,THURSDAY-THURSDAY,22-23,2,12,OPS_TEMPORARY
491121,TUESDAY-TUESDAY,0-11,2,12,OPS_TEMPORARY
491121,TUESDAY-TUESDAY,12-14,2,12,OPS_TEMPORARY
491121,TUESDAY-TUESDAY,15-18,2,12,OPS_TEMPORARY
491121,TUESDAY-TUESDAY,19-21,2,12,OPS_TEMPORARY
491121,TUESDAY-TUESDAY,22-23,2,12,OPS_TEMPORARY
491121,WEDNESDAY-WEDNESDAY,0-11,2,11,OPS_TEMPORARY
491121,WEDNESDAY-WEDNESDAY,12-14,2,12,OPS_TEMPORARY
491121,WEDNESDAY-WEDNESDAY,15-18,2,11,OPS_TEMPORARY
491121,WEDNESDAY-WEDNESDAY,19-21,2,12,OPS_TEMPORARY
491121,WEDNESDAY-WEDNESDAY,22-23,2,11,OPS_TEMPORARY
491122,FRIDAY-FRIDAY,0-11,2,18,OPS_TEMPORARY
491122,FRIDAY-FRIDAY,12-14,2,18,OPS_TEMPORARY
491122,FRIDAY-FRIDAY,15-18,2,18,OPS_TEMPORARY
491122,FRIDAY-FRIDAY,19-21,2,18,OPS_TEMPORARY
491122,FRIDAY-FRIDAY,22-23,2,18,OPS_TEMPORARY
491122,MONDAY-MONDAY,0-11,2,18,OPS_TEMPORARY
491122,MONDAY-MONDAY,12-14,2,18,OPS_TEMPORARY
491122,MONDAY-MONDAY,15-18,2,18,OPS_TEMPORARY
491122,MONDAY-MONDAY,19-21,2,18,OPS_TEMPORARY
491122,MONDAY-MONDAY,22-23,2,18,OPS_TEMPORARY
491122,SATURDAY-SATURDAY,0-11,2,18,OPS_TEMPORARY
491122,SATURDAY-SATURDAY,12-14,2,18,OPS_TEMPORARY
491122,SATURDAY-SATURDAY,15-18,2,18,OPS_TEMPORARY
491122,SATURDAY-SATURDAY,19-21,2,18,OPS_TEMPORARY
491122,SATURDAY-SATURDAY,22-23,2,18,OPS_TEMPORARY
491122,SUNDAY-SUNDAY,0-11,2,18,OPS_TEMPORARY
491122,SUNDAY-SUNDAY,12-14,2,18,OPS_TEMPORARY
491122,SUNDAY-SUNDAY,15-18,2,18,OPS_TEMPORARY
491122,SUNDAY-SUNDAY,19-21,2,18,OPS_TEMPORARY
491122,SUNDAY-SUNDAY,22-23,2,18,OPS_TEMPORARY
491122,THURSDAY-THURSDAY,0-11,2,9,OPS_TEMPORARY
491122,THURSDAY-THURSDAY,12-14,2,9,OPS_TEMPORARY
491122,THURSDAY-THURSDAY,15-18,2,9,OPS_TEMPORARY
491122,THURSDAY-THURSDAY,19-21,2,9,OPS_TEMPORARY
491122,THURSDAY-THURSDAY,22-23,2,9,OPS_TEMPORARY
491122,TUESDAY-TUESDAY,0-11,2,18,OPS_TEMPORARY
491122,TUESDAY-TUESDAY,12-14,2,18,OPS_TEMPORARY
491122,TUESDAY-TUESDAY,15-18,2,18,OPS_TEMPORARY
491122,TUESDAY-TUESDAY,19-21,2,18,OPS_TEMPORARY
491122,TUESDAY-TUESDAY,22-23,2,18,OPS_TEMPORARY
491122,WEDNESDAY-WEDNESDAY,0-11,2,9,OPS_TEMPORARY
491122,WEDNESDAY-WEDNESDAY,12-14,2,9,OPS_TEMPORARY
491122,WEDNESDAY-WEDNESDAY,15-18,2,9,OPS_TEMPORARY
491122,WEDNESDAY-WEDNESDAY,19-21,2,9,OPS_TEMPORARY
491122,WEDNESDAY-WEDNESDAY,22-23,2,9,OPS_TEMPORARY
491444,FRIDAY-FRIDAY,0-11,2,12,OPS_TEMPORARY
491444,FRIDAY-FRIDAY,12-14,2,11,OPS_TEMPORARY
491444,FRIDAY-FRIDAY,15-18,2,12,OPS_TEMPORARY
491444,FRIDAY-FRIDAY,19-21,2,12,OPS_TEMPORARY
491444,FRIDAY-FRIDAY,22-23,2,12,OPS_TEMPORARY
491444,MONDAY-MONDAY,0-11,2,12,OPS_TEMPORARY
491444,MONDAY-MONDAY,12-14,2,12,OPS_TEMPORARY
491444,MONDAY-MONDAY,15-18,2,12,OPS_TEMPORARY
491444,MONDAY-MONDAY,19-21,2,12,OPS_TEMPORARY
491444,MONDAY-MONDAY,22-23,2,12,OPS_TEMPORARY
491444,SATURDAY-SATURDAY,0-11,2,12,OPS_TEMPORARY
491444,SATURDAY-SATURDAY,12-14,2,12,OPS_TEMPORARY
491444,SATURDAY-SATURDAY,15-18,2,12,OPS_TEMPORARY
491444,SATURDAY-SATURDAY,19-21,2,12,OPS_TEMPORARY
491444,SATURDAY-SATURDAY,22-23,2,12,OPS_TEMPORARY
