CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
125266,FRIDAY-FRIDAY,0-11,2,13,OPS_TEMPORARY
125266,FRIDAY-FRIDAY,12-14,2,13,OPS_TEMPORARY
125266,FRIDAY-FRIDAY,15-18,2,13,OPS_TEMPORARY
125266,FRIDAY-FRIDAY,19-21,2,13,OPS_TEMPORARY
125266,FRIDAY-FRIDAY,22-23,2,13,OPS_TEMPORARY
125266,MONDAY-MONDAY,0-11,2,13,OPS_TEMPORARY
125266,MONDAY-MONDAY,12-14,2,13,OPS_TEMPORARY
125266,MONDAY-MONDAY,15-18,2,13,OPS_TEMPORARY
125266,MONDAY-MONDAY,19-21,2,13,OPS_TEMPORARY
125266,MONDAY-MONDAY,22-23,2,13,OPS_TEMPORARY
125266,SATURDAY-SATURDAY,0-11,2,12,OPS_TEMPORARY
125266,SATURDAY-SATURDAY,12-14,2,13,OPS_TEMPORARY
125266,SATURDAY-SATURDAY,15-18,2,12,OPS_TEMPORARY
125266,SATURDAY-SATURDAY,19-21,2,13,OPS_TEMPORARY
125266,SATURDAY-SATURDAY,22-23,2,12,OPS_TEMPORARY
125266,SUNDAY-SUNDAY,0-11,2,13,OPS_TEMPORARY
125266,SUNDAY-SUNDAY,12-14,2,13,OPS_TEMPORARY
125266,SUNDAY-SUNDAY,15-18,2,13,OPS_TEMPORARY
125266,SUNDAY-SUNDAY,19-21,2,13,OPS_TEMPORARY
125266,SUNDAY-SUNDAY,22-23,2,13,OPS_TEMPORARY
125266,THURSDAY-THURSDAY,0-11,2,13,OPS_TEMPORARY
125266,THURSDAY-THURSDAY,12-14,2,13,OPS_TEMPORARY
125266,THURSDAY-THURSDAY,15-18,2,13,OPS_TEMPORARY
125266,THURSDAY-THURSDAY,19-21,2,13,OPS_TEMPORARY
125266,THURSDAY-THURSDAY,22-23,2,13,OPS_TEMPORARY
125266,TUESDAY-TUESDAY,0-11,2,13,OPS_TEMPORARY
125266,TUESDAY-TUESDAY,12-14,2,13,OPS_TEMPORARY
125266,TUESDAY-TUESDAY,15-18,2,13,OPS_TEMPORARY
125266,TUESDAY-TUESDAY,19-21,2,13,OPS_TEMPORARY
125266,TUESDAY-TUESDAY,22-23,2,13,OPS_TEMPORARY
125266,WEDNESDAY-WEDNESDAY,0-11,2,13,OPS_TEMPORARY
125266,WEDNESDAY-WEDNESDAY,12-14,2,13,OPS_TEMPORARY
125266,WEDNESDAY-WEDNESDAY,15-18,2,13,OPS_TEMPORARY
125266,WEDNESDAY-WEDNESDAY,19-21,2,13,OPS_TEMPORARY
125266,WEDNESDAY-WEDNESDAY,22-23,2,13,OPS_TEMPORARY
130023,FRIDAY-FRIDAY,0-11,2,10,OPS_TEMPORARY
130023,FRIDAY-FRIDAY,12-14,2,10,OPS_TEMPORARY
130023,FRIDAY-FRIDAY,15-18,2,10,OPS_TEMPORARY
130023,FRIDAY-FRIDAY,19-21,2,10,OPS_TEMPORARY
130023,FRIDAY-FRIDAY,22-23,2,10,OPS_TEMPORARY
130023,MONDAY-MONDAY,0-11,2,10,OPS_TEMPORARY
130023,MONDAY-MONDAY,12-14,2,10,OPS_TEMPORARY
130023,MONDAY-MONDAY,15-18,2,10,OPS_TEMPORARY
130023,MONDAY-MONDAY,19-21,2,10,OPS_TEMPORARY
130023,MONDAY-MONDAY,22-23,2,10,OPS_TEMPORARY
130023,SATURDAY-SATURDAY,0-11,2,10,OPS_TEMPORARY
130023,SATURDAY-SATURDAY,12-14,2,10,OPS_TEMPORARY
130023,SATURDAY-SATURDAY,15-18,2,10,OPS_TEMPORARY
130023,SATURDAY-SATURDAY,19-21,2,10,OPS_TEMPORARY
130023,SATURDAY-SATURDAY,22-23,2,10,OPS_TEMPORARY
130023,SUNDAY-SUNDAY,0-11,2,10,OPS_TEMPORARY
130023,SUNDAY-SUNDAY,12-14,2,10,OPS_TEMPORARY
130023,SUNDAY-SUNDAY,15-18,2,10,OPS_TEMPORARY
130023,SUNDAY-SUNDAY,19-21,2,10,OPS_TEMPORARY
130023,SUNDAY-SUNDAY,22-23,2,10,OPS_TEMPORARY
130023,THURSDAY-THURSDAY,0-11,2,10,OPS_TEMPORARY
130023,THURSDAY-THURSDAY,12-14,2,10,OPS_TEMPORARY
130023,THURSDAY-THURSDAY,15-18,2,10,OPS_TEMPORARY
130023,THURSDAY-THURSDAY,19-21,2,10,OPS_TEMPORARY
130023,THURSDAY-THURSDAY,22-23,2,10,OPS_TEMPORARY
130023,TUESDAY-TUESDAY,0-11,2,10,OPS_TEMPORARY
130023,TUESDAY-TUESDAY,12-14,2,10,OPS_TEMPORARY
130023,TUESDAY-TUESDAY,15-18,2,10,OPS_TEMPORARY
130023,TUESDAY-TUESDAY,19-21,2,10,OPS_TEMPORARY
130023,TUESDAY-TUESDAY,22-23,2,10,OPS_TEMPORARY
130023,WEDNESDAY-WEDNESDAY,0-11,2,10,OPS_TEMPORARY
130023,WEDNESDAY-WEDNESDAY,12-14,2,10,OPS_TEMPORARY
130023,WEDNESDAY-WEDNESDAY,15-18,2,10,OPS_TEMPORARY
130023,WEDNESDAY-WEDNESDAY,19-21,2,10,OPS_TEMPORARY
130023,WEDNESDAY-WEDNESDAY,22-23,2,10,OPS_TEMPORARY
131766,FRIDAY-FRIDAY,0-11,2,9,OPS_TEMPORARY
131766,FRIDAY-FRIDAY,12-14,2,9,OPS_TEMPORARY
131766,FRIDAY-FRIDAY,15-18,2,9,OPS_TEMPORARY
131766,FRIDAY-FRIDAY,19-21,2,9,OPS_TEMPORARY
131766,FRIDAY-FRIDAY,22-23,2,9,OPS_TEMPORARY
131766,MONDAY-MONDAY,0-11,2,9,OPS_TEMPORARY
131766,MONDAY-MONDAY,12-14,2,7,OPS_TEMPORARY
131766,MONDAY-MONDAY,15-18,2,9,OPS_TEMPORARY
131766,MONDAY-MONDAY,19-21,2,9,OPS_TEMPORARY
131766,MONDAY-MONDAY,22-23,2,9,OPS_TEMPORARY
131766,SATURDAY-SATURDAY,0-11,2,9,OPS_TEMPORARY
131766,SATURDAY-SATURDAY,12-14,2,9,OPS_TEMPORARY
131766,SATURDAY-SATURDAY,15-18,2,9,OPS_TEMPORARY
131766,SATURDAY-SATURDAY,19-21,2,9,OPS_TEMPORARY
131766,SATURDAY-SATURDAY,22-23,2,9,OPS_TEMPORARY
131766,SUNDAY-SUNDAY,0-11,2,9,OPS_TEMPORARY
131766,SUNDAY-SUNDAY,12-14,2,9,OPS_TEMPORARY
131766,SUNDAY-SUNDAY,15-18,2,9,OPS_TEMPORARY
131766,SUNDAY-SUNDAY,19-21,2,9,OPS_TEMPORARY
131766,SUNDAY-SUNDAY,22-23,2,9,OPS_TEMPORARY
131766,THURSDAY-THURSDAY,0-11,2,9,OPS_TEMPORARY
131766,THURSDAY-THURSDAY,12-14,2,9,OPS_TEMPORARY
131766,THURSDAY-THURSDAY,15-18,2,9,OPS_TEMPORARY
131766,THURSDAY-THURSDAY,19-21,2,9,OPS_TEMPORARY
131766,THURSDAY-THURSDAY,22-23,2,9,OPS_TEMPORARY
131766,TUESDAY-TUESDAY,0-11,2,8,OPS_TEMPORARY
131766,TUESDAY-TUESDAY,12-14,2,8,OPS_TEMPORARY
131766,TUESDAY-TUESDAY,15-18,2,8,OPS_TEMPORARY
131766,TUESDAY-TUESDAY,19-21,2,9,OPS_TEMPORARY
131766,TUESDAY-TUESDAY,22-23,2,8,OPS_TEMPORARY
131766,WEDNESDAY-WEDNESDAY,0-11,2,9,OPS_TEMPORARY
131766,WEDNESDAY-WEDNESDAY,12-14,2,9,OPS_TEMPORARY
131766,WEDNESDAY-WEDNESDAY,15-18,2,9,OPS_TEMPORARY
131766,WEDNESDAY-WEDNESDAY,19-21,2,9,OPS_TEMPORARY
131766,WEDNESDAY-WEDNESDAY,22-23,2,9,OPS_TEMPORARY
134442,FRIDAY-FRIDAY,0-11,2,12,OPS_TEMPORARY
134442,FRIDAY-FRIDAY,12-14,2,12,OPS_TEMPORARY
134442,FRIDAY-FRIDAY,15-18,2,12,OPS_TEMPORARY
134442,FRIDAY-FRIDAY,19-21,2,12,OPS_TEMPORARY
134442,FRIDAY-FRIDAY,22-23,2,12,OPS_TEMPORARY
134442,MONDAY-MONDAY,0-11,2,12,OPS_TEMPORARY
134442,MONDAY-MONDAY,12-14,2,11,OPS_TEMPORARY
134442,MONDAY-MONDAY,15-18,2,12,OPS_TEMPORARY
134442,MONDAY-MONDAY,19-21,2,12,OPS_TEMPORARY
134442,MONDAY-MONDAY,22-23,2,12,OPS_TEMPORARY
134442,SATURDAY-SATURDAY,0-11,2,12,OPS_TEMPORARY
134442,SATURDAY-SATURDAY,12-14,2,12,OPS_TEMPORARY
134442,SATURDAY-SATURDAY,15-18,2,12,OPS_TEMPORARY
134442,SATURDAY-SATURDAY,19-21,2,12,OPS_TEMPORARY
134442,SATURDAY-SATURDAY,22-23,2,12,OPS_TEMPORARY
134442,SUNDAY-SUNDAY,0-11,2,12,OPS_TEMPORARY
