project_id,dataset_id,table_name,column_path,data_type,ordinal_position,is_nullable,field_level
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,rules_availability_enabled,BOOL,48,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,rules_unreachable_enabled,BOOL,49,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,rules_order_failure_enabled,BOOL,50,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,rules_vendor_late_enabled,BOOL,51,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,rules_order_failure_realtime_enabled,BOOL,52,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,is_appcues_enabled,BOOL,53,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,appcues_design_variant,STRING,54,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes,"STRUCT<include_in_oneweb_migration BOOL, include_in_oneweb_migration_phase STRING, historical_rules STRUCT<is_avoidable_waiting_time_supported BOOL>, realtime_rules STRUCT<is_avoidable_waiting_time_supported BOOL, is_order_failure_smart_monitor_enabled BOOL, is_avoidable_waiting_time_smart_monitor_enabled BOOL, is_unreachable_notifications_supported BOOL, monitor_unreachable_threshold_configurations STRUCT<godroid STRING, godroid_byod STRING, goweb STRING, oneweb STRING, oneapp_ios STRING, oneapp_android STRING>, monitor_unreachable_threshold_last_updated_at TIMESTAMP, is_self_closure_realtime_supported BOOL, is_order_surge_realtime_supported BOOL, is_qc_saturation_supported BOOL>, availability STRUCT<is_always_available_supported BOOL>, vendor_monitor_tags ARRAY<STRING>>",55,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_grade,STRING,56,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles,"STRUCT<dish_description_rate_30d_quintile STRING, dish_photos_rate_30d_quintile STRING, rating_30d_quintile STRING, orders_30d_quintile STRING, orders_share_awt_over_10min_30d_quintile STRING, order_fail_rate_30d_quintile STRING, vendor_fail_rate_30d_quintile STRING, vendor_contact_rate_30d_quintile STRING, vendor_scheduled_sec_30d_quintile STRING, offline_rate_30d_quintile STRING, offline_rate_peak_30d_quintile STRING>",57,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,hex_quantiles,"STRUCT<h8_entity_quintile STRING, h8_city_quintile STRING, h7_entity_quintile STRING, h7_city_quintile STRING, h6_entity_quintile STRING, h6_city_quintile STRING>",58,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_points,INT64,59,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,order_failure_performance_grade,STRING,60,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,awt_performance_grade,STRING,61,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,vendor_behavior_segment,STRING,62,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,hurrier_city_id,STRING,63,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,is_rewards_adblocking_off,BOOL,64,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,vendor_id,STRING,65,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,recently_updated,BOOL,66,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.availability,STRUCT<is_always_available_supported BOOL>,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.availability.is_always_available_supported,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.historical_rules,STRUCT<is_avoidable_waiting_time_supported BOOL>,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.historical_rules.is_avoidable_waiting_time_supported,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.include_in_oneweb_migration,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.include_in_oneweb_migration_phase,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules,"STRUCT<is_avoidable_waiting_time_supported BOOL, is_order_failure_smart_monitor_enabled BOOL, is_avoidable_waiting_time_smart_monitor_enabled BOOL, is_unreachable_notifications_supported BOOL, monitor_unreachable_threshold_configurations STRUCT<godroid STRING, godroid_byod STRING, goweb STRING, oneweb STRING, oneapp_ios STRING, oneapp_android STRING>, monitor_unreachable_threshold_last_updated_at TIMESTAMP, is_self_closure_realtime_supported BOOL, is_order_surge_realtime_supported BOOL, is_qc_saturation_supported BOOL>",,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.is_avoidable_waiting_time_smart_monitor_enabled,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.is_avoidable_waiting_time_supported,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.is_order_failure_smart_monitor_enabled,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.is_order_surge_realtime_supported,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.is_qc_saturation_supported,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.is_self_closure_realtime_supported,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.is_unreachable_notifications_supported,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.monitor_unreachable_threshold_configurations,"STRUCT<godroid STRING, godroid_byod STRING, goweb STRING, oneweb STRING, oneapp_ios STRING, oneapp_android STRING>",,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.monitor_unreachable_threshold_configurations.godroid,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.monitor_unreachable_threshold_configurations.godroid_byod,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.monitor_unreachable_threshold_configurations.goweb,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.monitor_unreachable_threshold_configurations.oneapp_android,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.monitor_unreachable_threshold_configurations.oneapp_ios,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.monitor_unreachable_threshold_configurations.oneweb,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.realtime_rules.monitor_unreachable_threshold_last_updated_at,TIMESTAMP,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,attributes.vendor_monitor_tags,ARRAY<STRING>,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,hex_quantiles.h6_city_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,hex_quantiles.h6_entity_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,hex_quantiles.h7_city_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,hex_quantiles.h7_entity_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,hex_quantiles.h8_city_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,hex_quantiles.h8_entity_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.dish_description_rate_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.dish_photos_rate_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.offline_rate_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.offline_rate_peak_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.order_fail_rate_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.orders_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.orders_share_awt_over_10min_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.rating_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.vendor_contact_rate_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.vendor_fail_rate_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_attributes_latest,performance_quantiles.vendor_scheduled_sec_30d_quintile,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,region,STRING,1,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,service,STRING,2,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,transmission_flow,STRING,3,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,country_iso,STRING,4,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,is_obs_order,BOOL,5,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,country_code,STRING,6,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,entity,"STRUCT<id STRING, display_name STRING, brand_id STRING>",7,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,created_date,DATE,8,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,created_at,TIMESTAMP,9,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,order_id,STRING,10,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,order_code,STRING,11,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,order_short_code,STRING,12,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,pos_order_id,STRING,13,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,vendor,"STRUCT<id STRING, code STRING>",14,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,timezone,STRING,15,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,delivery_type,STRING,16,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,is_preorder,BOOL,17,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,order_status,STRING,18,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,transitions,"ARRAY<STRUCT<created_at TIMESTAMP, stage STRING, state STRING, source STRING, owner STRING, reason STRING>>",19,NO,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,received_at,TIMESTAMP,20,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,waiting_for_transport_at,TIMESTAMP,21,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,sending_to_vendor_at,TIMESTAMP,22,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,received_by_vendor_at,TIMESTAMP,23,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,modified_by_vendor_at,TIMESTAMP,24,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,reconciliation_started_at,TIMESTAMP,25,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,reconciled_with_platform_at,TIMESTAMP,26,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,reconciled_with_transport_at,TIMESTAMP,27,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,minutes_to_accept,INT64,28,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,seconds_to_auto_accept,INT64,29,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,accepted_by_vendor_at,TIMESTAMP,30,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,implicitly_accepted_by_vendor_at,TIMESTAMP,31,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,acceptance_owner,STRING,32,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,prepared_at,TIMESTAMP,33,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,preparation_minutes,INT64,34,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,estimated_pickup_at,TIMESTAMP,35,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,near_pickup_at,TIMESTAMP,36,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,picked_up_at,TIMESTAMP,37,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,near_dropoff_at,TIMESTAMP,38,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,promised_for,TIMESTAMP,39,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,requested_pickup_at,TIMESTAMP,40,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,estimated_deliver_at,TIMESTAMP,41,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,original_estimated_deliver_at,TIMESTAMP,42,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,delivered_at,TIMESTAMP,43,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,cancelled_at,TIMESTAMP,44,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,stage,STRING,45,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,timings,"STRUCT<transmission_time INT64, first_response_time INT64, response_time INT64, preparation_time INT64, pickup_adjustment_time INT64>",46,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,cancellation,"STRUCT<reason STRING, owner STRING, is_cancelled_by_vendor BOOL, stage STRING, source STRING, is_upcoming_order BOOL>",47,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,products,"ARRAY<STRUCT<id STRING, name STRING, reconciliation_option STRING, quantity FLOAT64, unit_price FLOAT64, weight FLOAT64, volume FLOAT64, is_optional BOOL, toppings ARRAY<STRUCT<id STRING, name STRING, quantity INT64, is_optional BOOL>>>>",48,NO,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,client,"STRUCT<name STRING, version STRING, wrapper_type STRING, wrapper_version STRING, pos_integration_type STRING, pos_integration_name STRING, pos_chain_name STRING, method STRING, os_name STRING, os_version STRING>",49,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,device,"STRUCT<id STRING, serial_number STRING, mdm_service STRING, manufacturer STRING, model STRING, is_ngt_device BOOL>",50,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,comment,STRING,51,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,global_order_id,STRING,52,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,obs_device_id,STRING,53,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,item_unavailability_handling,STRING,54,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,payment,"STRUCT<payment_type STRING, payment_type_details STRING, total_net FLOAT64, total_gross FLOAT64, vat_amount FLOAT64, vat_included BOOL, currency STRING, fees ARRAY<STRUCT<name STRING, value FLOAT64>>, discounts ARRAY<STRUCT<name STRING, value FLOAT64>>, pay_at_pickup FLOAT64, wallet_amount FLOAT64>",55,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,payment_coredata,"ARRAY<STRUCT<currency_code STRING, gbv_local NUMERIC, gbv_eur NUMERIC, gmv_local NUMERIC, gmv_eur NUMERIC>>",56,NO,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,customer_id,STRING,57,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,fx_rate_eur,NUMERIC,58,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,high_demand_mode,"STRUCT<is_hd_order BOOL, author STRING, enabled_at TIMESTAMP, disabled_at TIMESTAMP, minutes_added INT64, duration INT64>",59,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,reliability_metrics,"STRUCT<is_food_is_ready_abused BOOL, prep_time_adjustment STRING>",60,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,original_order,"STRUCT<id STRING, relation STRING, reason STRING>",61,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,logistics_delivery_id,STRING,62,YES,TOP_LEVEL
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,cancellation.is_cancelled_by_vendor,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,cancellation.is_upcoming_order,BOOL,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,cancellation.owner,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,cancellation.reason,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,cancellation.source,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,cancellation.stage,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,client.method,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,client.name,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,client.os_name,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,client.os_version,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,client.pos_chain_name,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,client.pos_integration_name,STRING,,,NESTED_FIELD
fulfillment-dwh-production,curated_data_shared_vendor,growth_vendor_orders,client.pos_integration_type,STRING,,,NESTED_FIELD
