CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
637799,MONDAY-SUNDAY,0-23,2,25,OPS_TEMPORARY
637772,MONDAY-SUNDAY,0-23,2,25,OPS_TEMPORARY
637790,MONDAY-SUNDAY,0-23,2,25,OPS_TEMPORARY
637679,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637838,MONDAY-SUNDAY,0-23,2,30,OPS_TEMPORARY
637818,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637742,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637824,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637783,MONDAY-SUNDAY,0-23,2,20,OPS_TEMPORARY
637786,MONDAY-SUNDAY,0-23,2,10,OPS_TEMPORARY
